ItemID,Sentiment,SentimentText
1037001,Negative,"Lunching and bike riding around the village today with Lulu. Love my new bike, just wish I didn't have to lock it up all the time "
1037002,Negative,lunching and tweeting! hate being at work when its such a nice dayyy 
1037003,Negative,lunching downstairs... there goes my taste palate... 
1037004,Positive,Lunching in the Coffee Been and Tea Leaf 
1037005,Positive,Lunching outside 
1037006,Positive,lunchtime  i dont think i can revise anymore :'(
1037007,Positive,Lunchtime already. Time is passing by fast today 
1037008,Positive,Lunchtime and errands are over - back to project time! 
1037009,Positive,lunchtime with my peeps 
1037010,Positive,Lunchtime! and only two jobs left before the tape part is finished 
1037011,Positive,lunchtime! i hope the fried rice i made last night tastes good today too 
1037012,Negative,lunchtime!! waiting for the sis to call so we can head for lunch.. im hungry!! 
1037013,Negative,Lunchtime. i guess its Cake 
1037014,Positive,"Lunchtime.. then out all afternoon &amp; evening.  Will be back tomorrow - meantime, enjoy your day "
1037015,Positive,Lunchtime… Sandwich here I come. 
1037016,Positive,Lurking at the back in Lorna's how to do a barcamp pres session 
1037017,Negative,lurking on AdamOfficial.com...watching Adam Lambert videos...Looking at Adam Lambert pictures....hoping to cure my broken heart. 
1037018,Positive,Lurking online for a good tattooist in Christchurch NZ. I decided I wanna get tattooed in every country I visit 
1037019,Positive,Lurve lazy sunday naps... 
1037020,Positive,lush afternoon lots of sun bathing in the park with my mateys...got quite a good tan 
1037021,Positive,Lush day and off to work. Gutted! Should be quiet though 
1037022,Positive,lush weather 
1037023,Negative,"lushy night last night. dreading today. dread, dread, dreading and denying it! "
1037024,Negative,"Lust has to be the lamest of sins. Not only can I not do something, I can't even think about it "
1037025,Positive,lusting over adam lambert once again 
1037026,Negative,Lutherstadt Wittenberg. One train station --&gt; no way to get a coffee. 
1037027,Negative,"Luulaa, yeah me too!  but there're always problems about go to shopping!!! i hate that.."
1037028,Negative,Luunch time finally. Work is sooo fucking slow 
1037029,Negative,Luv is a kunfusn subject 
1037030,Negative,Luv Squeemote but wish it had better UI for controlling synced devices 
1037031,Positive,luv u too chickey legs... 
1037032,Positive,luv ya tweetsz... nite nite... gotta make movesz  stay safe out there 2night N DONT DRINK N DRIVE ((SMOOCHESZ))
1037033,Negative,"Luv you yes, luv you no "
1037034,Positive,Luvin the internet shoppin!  x
1037035,Positive,luvin the new soca tune boom boom boom...love it   
1037036,Negative,luvin the weather bt annoyed that im stuck in revising  booo! x
1037037,Positive,Luving the weather and my baby KB  xxx
1037038,Negative,luv's this track! thx @Spookaap: &quot;It raining again  I can't stand the rain...&quot; hey @StonyTunes  @kaaeyl:just ... ? 
1037039,Negative,Luvyoooo! Miss u fasho! @AntoinetteTaus: gonna mishoo a whole lot!!! me got no momma for 3 weeks!  rock Europe momma style!!! meluvshooo!
1037040,Negative,Lux is slippin maybe it's the rain  I know I'm bored as hell!
1037041,Positive,Luxury Estate Handbags  happymodhumanvintage.com
1037042,Positive,LV&amp;TT is already #3 on my itunes! It hasn't even been out for more than 5 hours in the US.  I'm hoping to buy my copy tomorrow. Get Yours!
1037043,Positive,LVATT came in the mail for me today and it totally cheered me up!! i need it. nothing like the jonas brothers to brighten my day 
1037044,Positive,LVATT COMES OUT IN 1 HOUR AND 12 MINUTES. 
1037045,Positive,LVATT is a trending topic! i got mine in the mail yesterday 
1037046,Positive,LVATT is a trending topic. Hahahaha. 
1037047,Positive,LVATT is already the #3 album on iTunes! 
1037048,Positive,LVATT is so awesome  i love it 
1037049,Positive,LVaTT lust came out at midnight and its a trending topic. wow the jonas brothers are SOO cool!!!  and i get to see them in 6 days!!!
1037050,Positive,"LVATT LVATT LVATT LVATT LVATT (Lines,Vines&amp;TryingTimes) is finally out!!!!!  &amp;&amp; is already #3 on iTunes )"
1037051,Positive,LVaTT makes my day more happy! ) is a trending topic too! CANT WAIT 
1037052,Positive,LVATT needs to come out now 
1037053,Negative,"LVATT tomorrow, hopefullyy. [no midnight for me] "
1037054,Negative,LVTT is not in Brunei  yet anyway i'm gonna get it in Malaysia
1037055,Negative,"lw ersma fedde le grand hörn  and ig go to my friend and sleep there ,but i musst go on to my homeworkhelp "
1037056,Negative,"Lychee juice significantly improves my USMLE performance...at this rate, I'll have diabetes by Step date "
1037057,Negative,#NAME?
1037058,Negative,lyin bed. down with some sorta throat problem.. sucks 
1037059,Positive,lyin gout the back evening out my tan lol 
1037060,Negative,"lyin in bed watchin corrie repeats, work in morn "
1037061,Positive,Lying awake in bed is the best time to think. About life. 
1037062,Negative,"lying down in my bed, can't go anywhere "
1037063,Positive,"Lying down listening to my iPod, realizing that I am the most lucky person alive  I truly am the happiest I've ever been in my life!"
1037064,Positive,lying down.. comfortably 
1037065,Negative,lying in bed  crazy sick.
1037066,Positive,Lying in bed  wondering what my cat is looking at lol X
1037067,Negative,Lying in bed and thinking about all the stuff that needs doing tomorrow.  Makes for a restless night 
1037068,Negative,Lying in bed catching up on my sleep since i've been up all week 
1037069,Negative,lying in bed dreading work at 3 until 10. ugggh 
1037070,Negative,"lying in bed eating chips, i really miss him "
1037071,Negative,Lying in bed feeling sorry for myself as I am really poorly 
1037072,Negative,Lying in bed I'm sick.... Sucks  but my cuz is here to entertain me
1037073,Negative,"Lying in bed in my new room, drinking medlemon. I hate being sick "
1037074,Negative,lying in bed in the middle of the day without Matthew 
1037075,Positive,Lying In Bed Listening To My Sisters Scary Dream And Smiling Coz Its Nice Outside Again Today 
1037076,Negative,lying in bed thinkin that im gonna have to go hospital tomorow 
1037077,Negative,lying in bed thinking how to make the day go faster 
1037078,Positive,Lying in bed waiting for my hot chocolate to arrive! And watching inbetweeners 
1037079,Negative,lying in bed watching Dr. Who  A few days of relaxation before studying for exams 
1037080,Positive,lying in bed watching hollyoaks 
1037081,Negative,"lying in bed wishing the kitchen was magically in her bedroom, hungry! "
1037082,Negative,Lying in bed with a fractured foot. Ouchhhhhhhh. Have to be with cruches for a month no! 
1037083,Positive,lying in bed with my laptop and tv on  it's good to be home on the weekend.
1037084,Positive,"Lying in bed, I feel to ill to get up "
1037085,Negative,"lying in bed, missing my boytoy  iloveyou giles&lt;3"
1037086,Negative,"Lying in bed, watching #scrubs - still pretty tired   yfrog.com/5ia5xnj"
1037087,Negative,Lying in bed. Bunged up big time  need to get hay fever tablet stat!
1037088,Negative,lying in bed. im trying to figure out how to use twitter. please help me out 
1037089,Negative,Lying in bed.. I don't feel well at all 
1037090,Negative,"lying in my bed feeling ill again  about to start watching my fifth film, nothing else to do "
1037091,Positive,"lying in my bed with petey and baikie, fair smashed already. woo "
1037092,Positive,lying in my bed.  trying to sleep again again again.
1037093,Positive,"Lying in the Hot Colorado Sun, soaking up the rays "
1037094,Negative,Lying next to delilah. Having a slight headache..  watching imagination movers.
1037095,Positive,Lying on laura's trampoline in the sun  Definitely time for an ice lollyy!
