ItemID,Sentiment,SentimentText
1037001,Negative,lunching and bike riding around the village today with lulu love my new bike just wish i didn t have to lock it up all the time
1037002,Negative,lunching and tweeting hate being at work when its such a nice dayyy
1037003,Negative,lunching downstairs there goes my taste palate 
1037004,Positive,lunching in the coffee been and tea leaf
1037005,Positive,lunching outside
1037006,Positive,lunchtime i dont think i can revise anymore 
1037007,Positive,lunchtime already time is passing by fast today
1037008,Positive,lunchtime and errands are over back to project time 
1037009,Positive,lunchtime with my peeps
1037010,Positive,lunchtime and only two jobs left before the tape part is finished
1037011,Positive,lunchtime i hope the fried rice i made last night tastes good today too
1037012,Negative,lunchtime waiting for the sis to call so we can head for lunch im hungry 
1037013,Negative,lunchtime i guess its cake
1037014,Positive,lunchtime then out all afternoon amp evening will be back tomorrow meantime enjoy your day
1037015,Positive,lunchtimeâ sandwich here i come 
1037016,Positive,lurking at the back in lorna s how to do a barcamp pres session
1037017,Negative,lurking on adamofficial com watching adam lambert videos looking at adam lambert pictures hoping to cure my broken heart 
1037018,Positive,lurking online for a good tattooist in christchurch nz i decided i wanna get tattooed in every country i visit
1037019,Positive,lurve lazy sunday naps 
1037020,Positive,lush afternoon lots of sun bathing in the park with my mateys got quite a good tan
1037021,Positive,lush day and off to work gutted should be quiet though
1037022,Positive,lush weather
1037023,Negative,lushy night last night dreading today dread dread dreading and denying it 
1037024,Negative,lust has to be the lamest of sins not only can i not do something i can t even think about it
1037025,Positive,lusting over adam lambert once again
1037026,Negative,lutherstadt wittenberg one train station gt no way to get a coffee 
1037027,Negative,luulaa yeah me too but there re always problems about go to shopping i hate that 
1037028,Negative,luunch time finally work is sooo fucking slow
1037029,Negative,luv is a kunfusn subject
1037030,Negative,luv squeemote but wish it had better ui for controlling synced devices
1037031,Positive,luv u too chickey legs 
1037032,Positive,luv ya tweetsz nite nite gotta make movesz stay safe out there 2night n dont drink n drive smoochesz 
1037033,Negative,luv you yes luv you no
1037034,Positive,luvin the internet shoppin x
1037035,Positive,luvin the new soca tune boom boom boom love it
1037036,Negative,luvin the weather bt annoyed that im stuck in revising booo x
1037037,Positive,luving the weather and my baby kb xxx
1037038,Negative,luv s this track thx spookaap quot it raining again i can t stand the rain quot hey stonytunes kaaeyl just http blip fm 6t1sb
1037039,Negative,luvyoooo miss u fasho antoinettetaus gonna mishoo a whole lot me got no momma for 3 weeks rock europe momma style meluvshooo 
1037040,Negative,lux is slippin maybe it s the rain i know i m bored as hell 
1037041,Positive,luxury estate handbags www modhumanvintage com
1037042,Positive,lv amp tt is already 3 on my itunes it hasn t even been out for more than 5 hours in the us i m hoping to buy my copy tomorrow get yours 
1037043,Positive,lvatt came in the mail for me today and it totally cheered me up i need it nothing like the jonas brothers to brighten my day
1037044,Positive,lvatt comes out in 1 hour and 12 minutes 
1037045,Positive,lvatt is a trending topic i got mine in the mail yesterday
1037046,Positive,lvatt is a trending topic hahahaha 
1037047,Positive,lvatt is already the 3 album on itunes 
1037048,Positive,lvatt is so awesome i love it
1037049,Positive,lvatt lust came out at midnight and its a trending topic wow the jonas brothers are soo cool and i get to see them in 6 days 
1037050,Positive,lvatt lvatt lvatt lvatt lvatt lines vines amp tryingtimes is finally out amp amp is already 3 on itunes 
1037051,Positive,lvatt makes my day more happy is a trending topic too cant wait
1037052,Positive,lvatt needs to come out now
1037053,Negative,lvatt tomorrow hopefullyy no midnight for me 
1037054,Negative,lvtt is not in brunei yet anyway i m gonna get it in malaysia
1037055,Negative,lw ersma fedde le grand hã rn and ig go to my friend and sleep there but i musst go on to my homeworkhelp
1037056,Negative,lychee juice significantly improves my usmle performance at this rate i ll have diabetes by step date
1037057,Negative, name 
1037058,Negative,lyin bed down with some sorta throat problem sucks
1037059,Positive,lyin gout the back evening out my tan lol
1037060,Negative,lyin in bed watchin corrie repeats work in morn
1037061,Positive,lying awake in bed is the best time to think about life 
1037062,Negative,lying down in my bed can t go anywhere
1037063,Positive,lying down listening to my ipod realizing that i am the most lucky person alive i truly am the happiest i ve ever been in my life 
1037064,Positive,lying down comfortably
1037065,Negative,lying in bed crazy sick 
1037066,Positive,lying in bed wondering what my cat is looking at lol x
1037067,Negative,lying in bed and thinking about all the stuff that needs doing tomorrow makes for a restless night
1037068,Negative,lying in bed catching up on my sleep since i ve been up all week
1037069,Negative,lying in bed dreading work at 3 until 10 ugggh
1037070,Negative,lying in bed eating chips i really miss him
1037071,Negative,lying in bed feeling sorry for myself as i am really poorly
1037072,Negative,lying in bed i m sick sucks but my cuz is here to entertain me
1037073,Negative,lying in bed in my new room drinking medlemon i hate being sick
1037074,Negative,lying in bed in the middle of the day without matthew
1037075,Positive,lying in bed listening to my sisters scary dream and smiling coz its nice outside again today
1037076,Negative,lying in bed thinkin that im gonna have to go hospital tomorow
1037077,Negative,lying in bed thinking how to make the day go faster
1037078,Positive,lying in bed waiting for my hot chocolate to arrive and watching inbetweeners
1037079,Negative,lying in bed watching dr who a few days of relaxation before studying for exams
1037080,Positive,lying in bed watching hollyoaks
1037081,Negative,lying in bed wishing the kitchen was magically in her bedroom hungry 
1037082,Negative,lying in bed with a fractured foot ouchhhhhhhh have to be with cruches for a month no 
1037083,Positive,lying in bed with my laptop and tv on it s good to be home on the weekend 
1037084,Positive,lying in bed i feel to ill to get up
1037085,Negative,lying in bed missing my boytoy iloveyou giles lt 3
1037086,Negative,lying in bed watching scrubs still pretty tired http yfrog com 5ia5xnj
1037087,Negative,lying in bed bunged up big time need to get hay fever tablet stat 
1037088,Negative,lying in bed im trying to figure out how to use twitter please help me out
1037089,Negative,lying in bed i don t feel well at all
1037090,Negative,lying in my bed feeling ill again about to start watching my fifth film nothing else to do
1037091,Positive,lying in my bed with petey and baikie fair smashed already woo
1037092,Positive,lying in my bed trying to sleep again again again 
1037093,Positive,lying in the hot colorado sun soaking up the rays
1037094,Negative,lying next to delilah having a slight headache watching imagination movers 
1037095,Positive,lying on laura s trampoline in the sun definitely time for an ice lollyy 
1037096,Negative,lying on my bed thinking damn it s gunna be such a crapy day
1037097,Negative,lying on my floor insanely hungry i think i might pass out and i m not aloud food until dinner which is in a bloody hour 
1037098,Negative,lying on the couch wishing i was out walking oh well watching a moviee kinda bored though oh darnnn
1037099,Negative,lying on the sofa resting my leg 
1037100,Negative,lying on the sofa this is gna make me stress more why do i stress so much sick 3times now wahey i fucking hate being ill
1037101,Positive,lying on the sun lounger gemmas rave tonight should be a reet laugh looking forward to tomorrow aswell
1037102,Positive,lyka left so might as well go too feels guilty totally neglected max and chatted with lyka for 4 hours i think it was worth it 
1037103,Positive,lykeee teal hair mayb pics tomarrow mastamind shit if only u knew 
1037104,Positive,lykke li but its all about lady gaga amp amp fashion
1037105,Negative,lynda got me some awesome vans for my birthday but they re too small pregnancy made my feet bigger
1037106,Negative,lyndons sleep no night of till friday we can go then though
